,MU_Partial,OSPAN_Partial,Avg
0,0.4892156862745099,0.84,0.664607843137255
1,0.669607843137255,0.963,0.8163039215686274
2,0.7,0.908,0.804
3,0.5843137254901961,0.983,0.783656862745098
4,0.6598039215686277,0.972,0.8159019607843139
5,0.5764705882352941,0.972,0.774235294117647
6,0.2647058823529412,0.972,0.6183529411764705
7,0.37058823529411766,0.958,0.6642941176470588
8,0.8715686274509804,1.0,0.9357843137254902
9,0.511764705882353,0.768,0.6398823529411766
10,0.711764705882353,0.733,0.7223823529411765
11,0.6245098039215685,0.896,0.7602549019607843
12,0.28725490196078435,0.876,0.5816274509803921
13,0.2980392156862745,0.85,0.5740196078431372
14,0.34509803921568627,0.972,0.6585490196078432
15,0.46862745098039216,0.833,0.650813725490196
16,0.5656862745098039,0.967,0.7663431372549019
17,0.5313725490196078,0.983,0.7571862745098039
18,0.6823529411764706,0.801,0.7416764705882353
19,0.5245098039215685,1.0,0.7622549019607843
20,0.7382352941176471,0.864,0.8011176470588235
21,0.4362745098039215,0.658,0.5471372549019607
22,0.6500000000000001,0.682,0.6660000000000001
23,0.10392156862745097,0.783,0.4434607843137255
24,0.4127450980392157,0.86,0.6363725490196078
25,0.3058823529411765,0.876,0.5909411764705883
26,0.4215686274509804,0.888,0.6547843137254902
27,0.5147058823529411,0.9,0.7073529411764705
28,0.46176470588235297,0.918,0.6898823529411765
29,0.7245098039215686,0.929,0.8267549019607843
30,0.4333333333333333,0.887,0.6601666666666667
31,0.4323529411764706,0.897,0.6646764705882353
32,0.5392156862745098,0.946,0.7426078431372549
33,0.5382352941176469,0.979,0.7586176470588235
34,0.7127450980392156,0.983,0.8478725490196077
35,0.2852941176470588,0.886,0.5856470588235294
36,0.3990196078431372,0.871,0.6350098039215686
37,0.6117647058823529,0.963,0.7873823529411764
38,0.4049019607843137,0.838,0.6214509803921568
39,0.538235294117647,0.839,0.6886176470588234
40,0.7725490196078431,0.967,0.8697745098039216
41,0.4147058823529412,0.664,0.5393529411764706
42,0.3764705882352941,0.935,0.6557352941176471
43,0.3558823529411765,0.778,0.5669411764705883
44,0.4774509803921569,0.925,0.7012254901960785
45,0.5941176470588235,0.933,0.7635588235294117
46,0.2519607843137255,0.832,0.5419803921568627
47,0.4509803921568627,0.924,0.6874901960784314
48,0.5509803921568628,0.808,0.6794901960784314
49,0.4156862745098039,0.942,0.678843137254902
50,0.7754901960784314,0.851,0.8132450980392156
51,0.5019607843137255,0.862,0.6819803921568628
52,0.17647058823529416,0.475,0.32573529411764707
53,0.5911764705882352,0.938,0.7645882352941176
54,0.19313725490196076,0.872,0.5325686274509804
55,0.46176470588235297,0.869,0.6653823529411764
56,0.4509803921568627,0.735,0.5929901960784314
57,0.24705882352941178,0.782,0.5145294117647059
58,0.6088235294117645,0.772,0.6904117647058823
59,0.4117647058823529,0.669,0.5403823529411764
60,0.24803921568627452,0.826,0.5370196078431373
61,0.646078431372549,0.881,0.7635392156862745
62,0.45392156862745103,0.918,0.6859607843137255
63,0.5813725490196078,0.929,0.7551862745098039
64,0.9323529411764707,0.914,0.9231764705882354
65,0.6196078431372549,0.963,0.7913039215686275
66,0.2686274509803922,0.703,0.4858137254901961
67,0.33921568627450976,0.958,0.6486078431372548
68,0.627450980392157,0.818,0.7227254901960785
69,0.8245098039215686,1.0,0.9122549019607843
70,0.30294117647058827,0.647,0.47497058823529414
71,0.9,0.983,0.9415
72,0.4352941176470588,0.933,0.6841470588235294
73,0.31568627450980397,0.718,0.5168431372549019
74,0.531372549019608,0.869,0.700186274509804
75,0.2843137254901961,0.843,0.5636568627450981
76,0.5029411764705882,0.963,0.7329705882352942
77,0.37254901960784315,0.91,0.6412745098039216
78,0.5794117647058823,0.983,0.7812058823529411
79,0.3019607843137255,0.685,0.4934803921568628
80,0.7313725490196079,0.918,0.824686274509804
81,0.3333333333333334,0.942,0.6376666666666667
82,0.85,0.928,0.889
83,0.2862745098039216,0.839,0.5626372549019608
84,0.29705882352941176,0.9,0.5985294117647059
85,0.853921568627451,0.839,0.8464607843137255
86,0.4313725490196078,0.956,0.6936862745098039
87,0.43921568627450985,0.883,0.6611078431372549
88,0.5235294117647059,0.604,0.563764705882353
89,0.4107843137254902,0.921,0.6658921568627452
90,0.6372549019607844,0.881,0.7591274509803922
91,0.5647058823529413,0.956,0.7603529411764707
92,0.4509803921568627,0.922,0.6864901960784313
93,0.5901960784313726,0.946,0.7680980392156862
94,0.5627450980392157,0.854,0.7083725490196078
95,0.6784313725490198,0.826,0.7522156862745099
96,0.6941176470588235,0.81,0.7520588235294118
97,0.44803921568627453,0.86,0.6540196078431373
